Date,AAPL,MSFT,NFLX,AMZN,GOOGL
01/04/2021,4.934328735,7.042799858,8.135558767,9.780329254,4.378197688
01/05/2021,4.677214453,6.972981786,7.966659234,9.091106955,4.384429759
01/06/2021,5.149501122,7.583074068,8.369104174,9.703438349,4.542442636
01/07/2021,5.484128782,7.975247424,8.200520869,9.385919696,5.012612777
01/08/2021,5.708591952,8.450271705,9.018402202,9.789834955,5.383592353
01/09/2021,5.328169312,7.906658149,9.670394453,9.265901503,4.973528689
01/10/2021,5.640706153,9.300530209,10.93746056,9.512397255,5.508176667
01/11/2021,6.224357646,9.271644844,10.17043969,9.892167362,5.279417045
01/12/2021,6.696142197,9.449604653,9.545224303,9.404958644,5.389341256
01/01/2022,6.590930875,8.73762236,6.767723312,8.437847591,5.034080069
01/02/2022,6.226652202,8.395122824,6.250882697,8.662906235,5.024909581
01/03/2022,6.592909446,8.680516585,5.935106438,9.195131674,5.174124054
01/04/2022,5.952533641,7.813619193,3.016115957,7.011057167,4.24554001
01/05/2022,5.619887482,7.654543048,3.128293444,6.781344663,4.23261126
01/06/2022,5.169846108,7.247930984,2.770688069,5.991594603,4.05406002
01/07/2022,6.145052415,7.922686833,3.563377065,7.612895965,4.327783704
01/08/2022,5.945020933,7.378874144,3.542145796,7.151439924,4.026416341
01/09/2022,5.233068928,6.586559453,3.730375845,6.374637002,3.558738857
01/10/2022,5.806359157,6.564783279,4.624626693,5.77891885,3.516324277
01/11/2022,5.605291197,7.215519945,4.840900933,5.446083735,3.757418111
01/12/2022,4.928079382,6.801375698,4.672159514,4.738668214,3.282671863
01/01/2023,5.472735731,7.02797348,5.606654469,5.817843332,3.67742549
01/02/2023,5.591073039,7.07363461,5.103915973,5.315770497,3.350758327
01/03/2023,6.263996485,8.196763996,5.473879862,5.826869573,3.859362335
01/04/2023,6.445573028,8.735821771,5.227501115,5.948720818,3.993675122
01/05/2023,6.733131216,9.336579073,6.26213248,6.802245499,4.57148242
01/06/2023,7.378459605,9.703183892,6.97924398,7.353961801,4.453539101
01/07/2023,7.472797286,9.571543986,6.955160858,7.541251573,4.937959279
01/08/2023,7.146420413,9.339035786,6.871344514,7.78551874,5.066318702
01/09/2023,6.521482738,9.015876464,5.982797856,7.171184719,4.86875656
01/10/2023,6.504723215,9.654340162,6.52292909,7.507968277,4.616500739
01/11/2023,7.235299584,10.81933876,7.509710438,8.241333596,4.930889945
01/12/2023,7.343234591,10.75918284,7.71426007,8.571348334,5.19728472
