Date,AAPL,MSFT,NFLX,AMZN,GOOGL
01/01/2021,-0.005501397,0.042891897,-0.015423531,-0.015576012,0.042632677
01/02/2021,-0.081085143,0.001810563,0.012133888,-0.035328414,0.106465169
01/03/2021,0.00884483,0.016925099,-0.031901277,0.000371784,0.020084963
01/04/2021,0.076217855,0.069601523,-0.015699887,0.120662737,0.141079842
01/05/2021,-0.052107246,-0.009913397,-0.020760655,-0.070470255,0.001423433
01/06/2021,0.100976056,0.087493744,0.050516148,0.067354987,0.03603955
01/07/2021,0.06498254,0.051716936,-0.02014353,-0.032722283,0.103506016
01/08/2021,0.040929595,0.059562325,0.099735291,0.043034169,0.074009223
01/09/2021,-0.066640363,-0.064330897,0.072295761,-0.053518109,-0.076169152
01/10/2021,0.058657453,0.176290923,0.131025276,0.026602458,0.107498722
01/11/2021,0.103471352,-0.003105776,-0.070127875,0.039923701,-0.041530916
01/12/2021,0.075796504,0.019193985,-0.061473782,-0.049251969,0.020821278
01/01/2022,-0.015712229,-0.075345194,-0.290983313,-0.10282991,-0.065919223
01/02/2022,-0.055269685,-0.039198253,-0.076368461,0.026672518,-0.001821681
01/03/2022,0.058820893,0.033995186,-0.050517067,0.061437285,0.029694957
01/04/2022,-0.097130988,-0.099867028,-0.491817714,-0.237525093,-0.179466908
01/05/2022,-0.055883121,-0.02035883,0.037192697,-0.032764318,-0.003045254
01/06/2022,-0.08008014,-0.053120358,-0.114313245,-0.116459213,-0.042184654
01/07/2022,0.188633527,0.09309634,0.286098245,0.270595971,0.067518409
01/08/2022,-0.032551631,-0.068639932,-0.005958188,-0.060615046,-0.069635496
01/09/2022,-0.119756013,-0.107376095,0.053140119,-0.10862189,-0.116152291
01/10/2022,0.109551439,-0.003306153,0.239721381,-0.093451306,-0.01191843
01/11/2022,-0.034628922,0.099125384,0.046765772,-0.057594703,0.068564164
01/12/2022,-0.120816527,-0.057396314,-0.034857441,-0.129894353,-0.12634906
01/01/2023,0.110521018,0.033316463,0.200013495,0.227738063,0.120253758
01/02/2023,0.021623063,0.006497055,-0.089668179,-0.086298789,-0.088830396
01/03/2023,0.120356762,0.158776845,0.072486281,0.096147694,0.151787732
01/04/2023,0.028987332,0.065764706,-0.045009893,0.020911957,0.034801808
01/05/2023,0.044613285,0.068769409,0.197920831,0.143480373,0.144680596
01/06/2023,0.095843727,0.039265433,0.114515543,0.081107967,-0.025799797
01/07/2023,0.012785552,-0.013566671,-0.003450678,0.025467874,0.10877196
01/08/2023,-0.043675328,-0.024291609,-0.012050957,0.032390799,0.025994427
01/09/2023,-0.087447651,-0.034603071,-0.129311906,-0.078907269,-0.038995206
01/10/2023,-0.002569895,0.070815489,0.090280709,0.046963448,-0.051811139
01/11/2023,0.112314751,0.12067097,0.151278871,0.097678266,0.068101192
01/12/2023,0.014917835,-0.005560036,0.027238019,0.040043851,0.054025699
