Date,AAPL,MSFT,NFLX,AMZN,GOOGL
01/04/2021,128.4311218,243.3874054,513.4699707,173.3710022,116.9734726
01/05/2021,121.7389297,240.9746094,502.8099976,161.1535034,117.1399765
01/06/2021,134.0316467,262.0583801,528.210022,172.0079956,121.3616486
01/07/2021,142.7413635,275.6112366,517.5700073,166.3795013,133.9233093
01/08/2021,148.5837097,292.0272827,569.1900024,173.539505,143.8348694
01/09/2021,138.6820374,273.2409058,610.3400269,164.2519989,132.8790894
01/10/2021,146.8167725,321.4107971,690.3099976,168.6215057,147.1634216
01/11/2021,162.0081024,320.4125671,641.9000244,175.3535004,141.05159
01/12/2021,174.2877502,326.562561,602.4400024,166.7169952,143.9884644
01/01/2022,171.5493011,301.9576416,427.1400146,149.5735016,134.4968567
01/02/2022,162.0678253,290.1214294,394.519989,153.5630035,134.2518463
01/03/2022,171.6007996,299.9841614,374.5899963,162.9974976,138.2384491
01/04/2022,154.9330444,270.0256348,190.3600006,124.2815018,113.4292221
01/05/2022,146.2749023,264.5282288,197.4400024,120.2095032,113.0838013
01/06/2022,134.5611877,250.4763947,174.8699951,106.2099991,108.3134003
01/07/2022,159.9439392,273.7948303,224.8999939,134.9499969,115.6265488
01/08/2022,154.7375031,255.0015717,223.5599976,126.7699966,107.5748367
01/09/2022,136.2067566,227.6204987,235.4400024,113,95.07977295
01/10/2022,151.1284027,226.8679504,291.8800049,102.4400024,93.94657135
01/11/2022,145.894989,249.3563232,305.5299988,96.54000092,100.3879395
01/12/2022,128.2684631,235.0441895,294.8800049,84,87.70401764
01/01/2023,142.4448242,242.8750305,353.8599854,103.1299973,98.25075531
01/02/2023,145.5249176,244.4530029,322.1300049,94.23000336,89.52310181
01/03/2023,163.0398254,283.2664795,345.480011,103.2900009,103.1116104
01/04/2023,167.7659149,301.8954163,329.9299927,105.4499969,106.7000809
01/05/2023,175.2505035,322.6565857,395.230011,120.5800018,122.1375122
01/06/2023,192.0471649,335.3258362,440.4899902,130.3600006,118.9863892
01/07/2023,194.502594,330.7765808,438.9700012,133.6799927,131.928772
01/08/2023,186.0076294,322.7414856,433.6799927,138.0099945,135.3581848
01/09/2023,169.7416992,311.5736389,377.6000061,127.1200027,130.0798645
01/10/2023,169.305481,333.6378784,411.6900024,133.0899963,123.3402786
01/11/2023,188.3209839,373.8982849,473.9700012,146.0899963,131.7398987
01/12/2023,191.1303253,371.819397,486.8800049,151.9400024,138.8572388
